Id,ProductId,UserId,ProfileName,HelpfulnessNumerator,HelpfulnessDenominator,Score,Time,Summary,Text
353764,B005A1LINC,A1ZENB34HH2EIM,"SAlaska ""S""",0,0,4,1325635200,"If you like Crystal Light, this is a good one.","Like all sugar-free products, this one has that sugar-free aftertaste. However, if you like Crystal Light, this one is a good flavor!  I like mojitos and thought the flavor of this was pretty spot-on.  It is very sweet, so I add a squeeze or wedge of lime since I don't have much of a sweet tooth.  With the lime added, I find this refreshing and tasty and definitely worth drinking!"
183057,B000VXMOAK,A2R6RA8FRBS608,Matthew G. Sherwin,1,1,5,1335225600,Rokeach Memorial Yahrzeit Tumbler review,These memorial Yahrzeit candles by Rokeach definitely last longer than some of the cheaper ones I can get in a supermarket. I agree with the reviewer who writes that these always burn for a few hours longer than 24 hours; that makes these a superior brand of memorial candle. The candle burns well and safely after you light it but I usually place it on a dish on my stove or any other surface that is not flammable just in case.<br /><br />Highly recommended.
539326,B001BDDT8K,AW4MT9WP95TVD,"DonMac ""butchm""",0,1,2,1229299200,Very pricey and not too big of a hit,"I have three cats.  Now mind you, all three of theses cats LOVE to eat.  One cat is part Maine Coon and weighs about 28lbs, one is 17-years with a thyroid condition and constantly wants to eat, the third is the Coon's twin and she is a bit of a glutton.  ANyway, each of these cans has about the equivalent of two tablespoons of food and the rest is all liquid.  That was a reall turnoff for my guys.  The actual protein content LOOKS good, but they all three pretty much turned their noses up at it.  I have been using it as my ""emergency supply"" but have to say, I would never buy."
144971,B003MA8P02,A36JDIN9RAAIEC,Jon,2,2,5,1292976000,Don't fall prey to fads and anecdotal reviews,"I have two cats, one 6 and one 2 years old. Both are indoor cats in excellent health. I saw the negative review and talked to my vet about it. I've also asked a number of veterinary professionals what to feed my cats and they all answer the same thing: Science Diet. Sure, you'll see stories of how one person's cat had issues, but even if that's 100% true, it's 1 case out of millions. Science and fact aren't based on someone's experience.<br /><br />So my point is, I love my cats and I'm very concerned about their health. I trust people who actually have medical degrees and experience with a wide range of animals. My only caution is do not fall for some hype or scare tactic that recommends some unproven or untested food or some fad diet for your pet. Don't listen to me, don't listen to the negative review. ASK YOUR VET what they recommend, and follow their instructions. My guess is you'll end up buying the Science Diet anyhow."
386787,B004UOA23M,A1ZGR4H0W2PBA9,Donna L.,0,0,1,1327881600,I really tried,"I really tried with this coffee.  I tried it in a coffee maker, then I tried packing it in my espresso machine. Then I tried it in my foolproof french press, all to no avail.  No matter what I did I could not deny that every method yielded the dreaded grainy taste.  The price seemed right and so did the reviews. So Im back to taste testing again, searching for that perfect sip."
439906,B001CU0N9K,A10GTLAY7TZDQ6,classact,0,0,5,1318118400,great jerky!,Ostrim beef-ostrich jerky tastes great and isn't sweet like most jerkeys. It has only 60 calories and is very low in fat and carbs. It's delicious and excellent for a high-protein diet. The price is quite reasonable and it's a healthy snack or mini-meal. I've tried only the pepper variety and love it. I've ordered twice and will continue.
121721,B000NVBVIQ,ATYY74AGWM8K0,Glenn A. Marin,0,0,5,1330473600,Excellent dog treat product,Excellent dog treat product... can be easily broken in half if a smaller treat is desired.  Strong fish smell.. and dogs almost stand on their heads for this smell!
67585,B007OXJK3Y,A3MEV9NFC614NB,Cat Lover,0,0,5,1319241600,A Calorie Free Chocolate Glazed Donut,"With a bit of artificial sweetener and a burst of whipped cream, I feel like I am enjoying a chocolate glazed donut.  A calorie free donut at that!  You can't go wrong with this flavor.  Great as a morning, dessert, or anytime coffee."
460159,B005BRHVD6,A3GR6R8PFV3G5F,M. Flynn,8,33,1,1159920000,Buy Your Gu Elsewhere,"The vendor used by Amazon is terrible.  I ordered a 24-case of GU over a month ago, and have not received my order.  I wasn't told that the product was backordered until after I made my purchase, and the vendor gave me three consequective back order dates.  Due to this major inconvenience I have canceled the order.  Don't order GU through Amazon."
353772,B005A1LINC,A1EXGL6L0QQ0M5,"Shane O. Laake ""camera nerd""",0,0,2,1323907200,Worse than the margaritas,"This is a great idea--even without any alcohol, but it's simply too bland and watery to get the job done.  Mixing stronger with less water doesn't help.  Adding vodka didn't help, but dark rum did.  Not exactly the idea, so no bonus points for that.  Go for another Crystal Light flavor and pass on these moctails."
59080,B002HQLY7S,A218HVJJ88XQ9F,"The Vinocat ""tech toy addict and chef""",0,0,4,1282953600,Nice flavor for a change of pace,"This flavor really needs a bit of sugar added to bring out the real buttery-toffee sensation; otherwise, I think it tastes a bit off or bland.  Properly prepared, so to speak, esp. with some milk or whipped cream, it's delicious."
424083,B003UHYN0I,AEKOJH4OZ250S,Ryss,0,0,4,1346889600,Good product but a tad crumbly,"My two dogs love these.  I bought them along with the regular Plato chicken treats when I saw they were USA made.  The only reason I gave these four stars instead of five is that they are somewhat crumbly when you get them out of the bag. I assume it's due to the vegetable content so I'm not really complaining. It's great to find products that are not only good tasting, but good for them as well."
302215,B007QPN2Y8,A27K5XV44SNIV7,"I. Lechmanski ""particular shopper""",0,0,5,1344124800,Healthy Treat,"My dog loves this treat - it must be the salmon.  However, I'm going to try the other flavors for variety.  Pleased that the ingredients are healthy for her and that I can purchase this at amazon because you can't count of Costco to continue carrying a product."
490192,B000H7GS5W,A2ICD64WO3GYMO,Garden Rose,0,0,5,1294099200,rich flavored chocolate cookies,"These cookies are rich and creamy with a wholesome taste. They don't have a bitter taste like most dark chocolate does, so if you're looking for a traditional bitter taste this is not it. They aren't as soft as bakery cookies, but not crisp as crackers either-they are a medium softness.There are 9 cookies about 1 3/4"" in diameter.<br /><br />The cookies are placed in a plastic container wrapped in a plastic bag within a heavy paper box. I opened a few boxes and looked in the window of the other boxes and none were cracked. I had bought them as Christmas gifts mostly because the current picture shows a red and green box, but I was disappointed that the box was actually orange and pale green. Nevertheless, one of my relatives liked them a lot and so did I."
36147,B000FBQ594,A1PB97BLMR9X2S,"L. Jenkins ""Laurie-J""",0,0,5,1213401600,Delicious! Flakey Cookie with creamy center,"These are really tasty.  They  are not very sweet but the cookie wafers are crispy and delicately buttery flavored.  Personally, I do not think they taste anything at all like a Ritz cracker with no salt.  And I liked the cocoa cream center very much -- again not real sweet but really chocolately tasting.  The cookies are a nice size, too. I was leery of buying 24 packs here on Amazon based on a couple of the reviews but I did find it locally so I bought a test package.  The price was about 50% more than the Amazon price though. I liked them very much and NOW I will definitely order the case from Amazon so I can keep them on hand."
149572,B000E8WIAS,A25OH5ZY5WC0QV,spiffythingz,1,2,5,1304640000,Sugar is toxic. Stevia is Stealth,"Sugar is toxic. Why wouldn't anyone use Stevia. If you cut sugar out of your diet for 2 weeks then add stevia you will never miss sugar again. Stevia is the perfect all natural sugar substitute. It comes from nature. It's perfect for cancer patients, diabetics and over all health. Sugar is toxic, it kills, it feeds illness, switch and do what's best for your body."
150811,B003V1O0BU,A3E6F0DES7LVJ2,T. Caporaletti,1,1,5,1299628800,wonderful,"This jello is easy to make and absolutely delicious. My daughter has been asking for jello, but I did not want to make the stuff with aspartame and Red#40. Not only is it delicious, but it is high in Vitamin C. and Fiber and Gluten free!"
526882,B005QRPGQU,A27HB4L3I1WJUR,"happy reader ""d/mil""",0,0,5,1320364800,Gracie gives this five stars,"When Gracie (our mini-dachshund) sees me open the treat container, she comes running.  Then when I give her one of these chews (shaped like bones)...she is off to the living room where she always gos when not sure she's supposed to have such a delicious treat.  As for us, we are happy to give her one of these, knowing it's good for her teeth, her breath and her health.  Highly recommended."
42535,B001F5RRSC,A2CD5FQASE3LEK,Doedi Meyer,0,0,4,1340841600,love it!!!,"My grandomther boought this a few years ago and gave me some of the flowers. now, a few years later the tea still tastes great but the flowers dont look very nice when they open"
232182,B00206RYT2,A2AOC5J4310UO0,judy lutt,0,0,3,1336089600,Not great but edible.,"I ordered these crackers b/c I wanted a GF cracker and the reviews were decent.  One reviewer even claimed that this cracker was as close to a saltine as GF person could get.  More's the pity.  This cracker isn't a saltine nor does it taste like one.  It is thin and crisp and brown, more like a thin graham cracker without the flavor. Tolerable but definitely not a saltine.  It doesn't seem like making a decent GF saltine should be so difficult but apparently it is."
491298,B0085O9BF8,A214DG8Y09M3W9,"Michelle Devon ""~~Professional Dreamer""",0,1,4,1342915200,"Light, Crisp and Good--Just a Little Too Sweet","I'm not a sweets eater, preferring starchy salty things for snacks, but I crave a little something sweet every now and then. The little 100-calorie packs of other sweets are a good choice for me, because they are just small, low-calorie packs of sweet things to eat. Here recently, I've gone to eating gluten-free and all-natural, so I don't really eat this type of food any more. I preface my review with that, so everyone is clear that this isn't my normal type of food when I am judging a rating on it, and my rating might be affected by the fact I usually don't eat processed foods. My daughter bought two boxes of these the other day--and cinnamon and brown sugar are two flavors I really love for the limited sweets I do eat--so she let me have one.<br /><br />They are very sweet. For me, they are too sweet... way too sweet. But for someone who likes sweets, I would imagine they are just the perfect amount of sweetness. What I really liked about them was the crispy, flakiness. They have this nice softish outer shell of pastry, but this nice, crisp, brittleness that makes them crunchy too. In flavor, they are like a thin, crispy pop tart. It's like all the good stuff of a pop tart without all the 'excess' pastry that pop tarts have that I don't like. I love the crispness.<br /><br />My BFF tried the chocolate ones and said it was very good and didn't have any powder 'fake' chocolate taste that some chocolate products have. She liked the crispiness of it too.<br /><br />So if you're a sweets eater, these small little pop-tart-like treats are probably going to be the perfect little snack item and if you can bring yourself to eat only one package of them (there are two small 'sticks' or 'bars' in each interior package), then it's only 100-calories and might fit in well with a low-calorie and/or low-fat diet plans too. They are not, however, good for low-carbing or Paleo or all-natural diets. For older kids and teenagers, they are probably a great slightly healthier substitution for pop tarts too."
94168,B0018CE6DQ,A2C61HHXVB8B7O,Mike,0,0,5,1349049600,Great food for Working Dogs.,"I have been feeding my PSD this food for years, it is by far IMO the best food on the market for working dogs. Keeps him very lean and muscular.  He is a 3 year old Belgian Malinois."
329182,B003VXHGE6,AT8JX7T3CKJKO,Tim in PA,0,0,2,1296259200,Not my favorite,"I got this is a low cost alternative to my normal Jet Fuel and it just didn't measure up. I like strong coffee but this had a bitter taste that I just didn't care for. Also, 3 of the cups had some sort of malfunction and dumped their grinds into my cup-not sure why."
59440,B000E3XCEE,A3R1UZQFLE2UTN,"CJ ""ChefJeff""",3,3,5,1206489600,Delicious!,"Very good Gumbo mix in a box, all you do is add meat and your good to go!<br />Taste like it came from a restaurant."
342886,B003SGFRYW,AE01TJQJRIMYB,J. E. Grohne,5,6,1,1316736000,Recipe has changed at least 4 times this is the worst,"Famous Amos Chocolate chip cookies have had several changes to the original recipe.  They taste NOTHING like they used to which at one time was absolutely delicious.  Not so much now... they are more like dog biscuits now.<br /><br />Changes like...from all butter to margarine to mixed oils.... maybe the next version will be petroleum based. They now have no brown sugar, the eggs are almost non-existent as well as any good taste.<br /><br />Avoid eating these ""cookies"" if they are still available."
204266,B004JNOTD8,A2HST6VAKYVRM1,"CC ""controlled by 'the pets.'""",0,0,4,1331596800,Puppy loves it SOLO - old dog loves it with wet/soft food!,"Our puppy says this is good stuff.  It's the stuff the Humane Society gave us when we took him home on 12/28/2011.  And since our puppy loves it and he's had no health problems (like allergic reactions, etc) - we continue to get it here at Amazon.com.  And Amazon.com is 'speedy' that's for sure.  Our old dog is high-maintenance, loves this food but not dry.  He's spoiled and likes wet food to accompany the dry goods."
229303,B001EO5WGI,A2M9D9BDHONV3Y,A. Bennett,2,2,1,1284681600,This is just sooooo awful!!!!,"Like the other reviewer stated.....they must be rancid!  I wasted some beautiful, expensive fish using this product.  After anxiously waiting for the fish to cook, I took a bite...... and almost vomited.  This is the worst oil I have ever tried to eat.  I immediately drained the oil into the toilet and recycled all the remaining bottles.  Ohhhhh, I can not tell you how putrid this oil was.  I get sick to my stomach just remembering the taste.  Do NOT. I repeat, DO NOT buy this company's products....at least not the ones with oil in them.  What a waste of money and produce.  I can only hope I did not do any permanent damage to my health with my limited exposure to this criminally discusting food."
295164,B000MN87F0,A3D6TFYRMIV3ZL,Themis-Athena,4,4,5,1212883200,"The ""Green Pearl"" of Tea.","Gunpowder tea is green tea, most of which comes from a city named Pingshui in the Eastern Chinese province of Zhejiang, south of the Yangtse River Delta, where it has been cultivated for centuries and is known as the ""green pearl"" of tea. Pingshui tea market records date as far back as the Tang Dynasty (AD 618 - 907). The area's gunpowder tea was an important tribute traditionally given to the Chinese emperors; and with the growing trade volume between China and the West it also acquired an increasing number of lovers in Europe. Particularly during the second half of the 19th century, when gunpowder tea export reached its peak, its price on the London market was second only to then-popular Wu Yi Oolong (also from China). Even today, Zhejiang Province still proudly calls itself ""home of silk and tea"" for its two primary natural products.<br /><br />The name ""gunpowder"" derives from the tea's elaborate method of processing, which traditionally lasts several hours and during which the tea leaves are withered, steamed or stir-fried and individually rolled into small pellets. Early foreign traders mistook these pellets for gunpowder or gunshot.<br /><br />Gunpowder tea has a delicate aroma with a slightly smokey note. It should *always* be enjoyed without milk or cream."
96880,B003WK0D8O,AHRZS90UJ85IV,newyorkwoman,0,0,5,1320105600,Does what it claims,I had to stop giving my  15 year old cat dry food because he could no longer hold it down (even the ones with only whole food ingredients were too hard on his system).  He would even throw up blood clots if I had to leave him with dry food for a couple of days.  His stool became loose and smelled even worse than usual.  I gave him this on a trip that I had to bring him along with me and he has been doing great on it. His stool is hard now and he holds it down.
439702,B000WR8NSM,A5ZIC5T24D2MO,Richard Bain,1,1,5,1330732800,This is by far the best steak season I have ever tasted.,I can believe how good this is. It makes the steak taste five times better. I use it all the time.
466792,B000EMPMWA,A2P7N1GEX17V0Q,V. K. Tucker,3,9,1,1181865600,no significant savings in carbs or calories,"Most of the apparent savings are from a smaller portion on the ""sugar free"" product when compared to the regular product."
16836,B001LGGH40,A1C139F5C7Y38P,"The Matrix Fan ""Video Gamer since 1979.""",1,2,3,1235865600,A very good thing - in a too-small package.,"When it comes to low-calorie drinks, I'll usually partake in a flavored water or apple juice. This little can, however, packed some big taste!<br /><br />First Impressions: I must admit, I was disappointed in the size of the container. Sure, it's slender and can fit on shelves easier, but in the end, it means less juice. I read about the promise of 100% juice and 0% added sugars and preservatives. I knew the only way to properly test this out was to crack open the can.<br /><br />Appearance and Nutrition:  This can is identical to the size of a Red Bull, giving us about 8.3 ounces to drink, roughly 4 less than a standard soda can.<br />The nutritional facts tell us that each one of these little cans packs 135 calories. There's sodium and a pretty high carbohydrate count of 34 grams - plus 33 grams of sugar (that's regular, not added). It does have 100% vitamin C, so there's a plus.<br /><br />Taste: This is a sweet, fruity drink. The sweetness is natural, not artificial, which is a very nice change of pace for those who want to kick soda to the curb. It has the right blend of kiwi, raspberry, strawberry, apple and grape juices - no one overpowers the other. If a drink has a high carbonation level I usually hiccup, but that didn't happen here.<br /><br />Final Thoughts: While the taste is good, I'm not ready to ""make the switch"" for two main reasons:<br />(1) The small can size.<br />(2) The large calorie count.<br /><br />For a quick burst of fruity goodness, this is a good choice. However, if you want more drink with fewer calories, I'd suggest a 1-liter bottle of Clear Splash water, which retails for about the same price."
374265,B005ZVRG42,A1UDW8I309KZO6,Anthony Carlson,0,0,5,1348099200,"Delicious syrup, great company!","This syrup is fantastic! I make Starbucks style frappuccinos at home and the maple flavor works great for that. Actually, out of all the flavors I've tried of any brand, I think this one made the best tasting drink.<br /><br />That said, I just can't say enough about Amoretti as a company. This may come off like I work for them or something, but I do not. Their customer service is amongst the best I've ever had the pleasure of speaking with. They care about the product and they care about the customer, whether you're a business or just a small home user like myself. The world needs more companies that treat their customers right."
192743,B0031UBWLM,AE31OVY2J58GS,Hausweet,0,0,1,1350777600,BUYER BEWARE! Read the nutrition label on Ella's website,"This stuff is garbage and Ella's Kitchen should be ashamed for false advertising. I was really surprised to see a fruit product like this one had so much calcium (10%) on the package compared to most of the other baby fruits out there (usually 0-2% unless veggies or yogurt's added in) and chose this over other products, thinking the extra calcium would be worth the extra $ for my baby in the long run. When you check it against Ella's website, it HAS NO CALCIUM%! Same goes for all the other stage 1 Ella's fruits (butternut squash, carrots, apples, prunes: 30% calcium on package but 2% on the website, carrots, apples, parsnips 30% calcium on package vs. 0% on website all the same serving size) -- there were other differences too in protein, iron, etc. It does cost a lot more than some of the other organic baby fruits out there and tastes awful. If your baby is just as content with the other less expensive organic baby fruits out there, go with the cheaper alternative because nutrition wise, Ella's no better!<br /><br />What a disgusting marketing ploy by Ella's Kitchen to get parents to choose their products because it is falsely more nutritious when it's the same as other organic baby fruits in terms of nutritional value."
165085,B0014KZM7G,A3RO9UK3TAZMNV,Mike in CA,0,0,5,1344124800,"""the best""",This is the best hot sauce I've ever had.  Everyone to which I expose it feels the same.  5 star+
55162,B001GVIUXQ,A3IXMUO7DVHCP6,Shaysay01,0,0,5,1348099200,Excellent!,"I use Newman's brand of Cat and Dog food exclusively. The product exceeds every brand out there! I've bought them all, from Hill's Science Diet to every gourmet/high priced label out there.  My Ragdoll loves it and she has less digestive issues and her weight is perfect.<br />This shipper, WAGS, Inc. they ship FAST! Each time I get within 2 days! I ordered Saturday and it was here on Monday!!! Everytime! Amazon is the place!"
39634,B004Q9QIPM,A2RICV4TABS504,Trudy Steele,0,0,4,1342656000,Tasty snack,I ordered this jerky because it was the best price per pound and I had never had Brown Sugar Jerky.  It was surprisingly good.  The jerky was not too dry and didn't have an overly sweet taste.  I would recommend this as an option on road trips or as a snack that increases your daily protein intake.  I have even added this to Amazon's program that automatically sends it to you each month.  I definitely got my money's worth.
318100,B000FFAK6Y,A13TB5JHNR6V8J,Lyndi,1,1,5,1300233600,Dare Brand- Best Commericial Lemon Cookies,"I'm Canadian.  When I moved to Indiana to work, I was horrified that I could not find my favourite Dare Cookies. (Lemon Creme and Ultimate Maple).  Every time I fly home to Saskatchewan, I go on a shopping spree and fill a huge box with goodies from home.  Then I ship it south to Indiana.<br /><br />Today, I decided to check on line to see if Dare Cookies could now be purchased on line at a reasonable price.  I was delighted to find they were available through Amazon!  As an Amazon Prime member, I can even get them shipped for free.  That's a real bonus.<br /><br />Now if someone will just start selling EatMore Bars!!!"
222736,B001J9ST90,A2AN3WWO5SMH8U,Anonymous,0,0,3,1351036800,"We don't love it, but don't hate it","My dog will chew on this, if I put it right in front of him.  However, he'll never seek it out in the same way he will a bully stick or knuckle bone.  It's a good option to have laying around for him though -- longlasting, not sticky, no odor.  It is a bit small, however, and I worry about my small dog (miniature schnauzer) choking on it -- which may be more of a concern for larger dogs."
216544,B000VBWLEQ,A347XPCKWQ8BPF,JustJoan,0,0,5,1227052800,Great to have on hand!,"These are great.  I like the fact that they are in portion controlled bags which make them easy to throw in a book bag, carry-on bag or lunch box.  They are a bit hard so they don't crumble easily before you get to them.  The taste is similar to cinammon graham crackers."
334529,B000B8FYZC,A2OLLMJAUM62S3,relaxed1,0,0,3,1306627200,not as good as the pet store?,For some reason my dogs don't like these as much as ones I bought (for more money) at the pet store.  They like them if I put a little peanut butter inside.
343137,B003YBH398,A3NVUUYGCD4UXA,Southern Belle,21,21,5,1291334400,Convenient for On-the-Go,"Love the GoPicnic ready-to-eat meals.  Most days, I find myself running from back-to-back meetings and don't have time to stop for lunch.  These store conveniently in my desk - I just grab and snack away - no waiting in line for the microwave. It has 12g protein, 2g fiber, and 290 calories. On the down side, it is high in sodium....890mg - 37% daily allowance!  Expiration date was June 2011.  Meal was tasty and I would buy again."
452914,B003D4MYLS,A3OLIW4DLRH8QL,WENDELL C GATES II,0,0,5,1300838400,"Great Product, Great Price!","My wife is a tea lover.  She finds Stash Premium White Christmas Tea soothing & delightful.  I thought the price was great, too."
206061,B000EDK5LM,AI5EIS34J73QB,Sam,1,1,5,1338076800,Essential for whole wheat bread,I've been using this for years.  People always ask why my 100% whole wheat bread isn't like a rock.  It's because I add Bob's Red Mill Gluten Flour to my mixture.  Dough rises nicely and produces a nice texture.
238010,B000UGXWOA,A1TR2KVICYLR2V,Theresa Brown,15,16,2,1297382400,Not a sweet deal,I ordered the 80 count box of tutti frutti sticks. Out of 80 sticks 65 were broken. I needed the sticks for a school craft project and used the broken ones. I would not order them again.
385273,B005VOOM5E,A2W0XCWOK3MW6F,"Karen Woodworth Roman ""Happy Librarian""",0,0,3,1342569600,Not that great,"I found that the pod made a very weak and not very flavorful cup of coffee. I didn't think it had much of an aroma either. Sadly, I would only consider this adequate coffee in a total coffee emergency. I prefer medium to dark roasts, and this just didn't have a good flavor. If you like very mild coffee, you might like this."
119046,B004IREFUM,A3S87ZOPB3UM9N,atmj,2,2,5,1301875200,"I have 6 favorites, this is one of them","This review is going to get posted in 6 places, as I'm indicating my preferences for 6 different coffees. If you like one, maybe you will like the other.<br /><br />Regarding coffee, I like strong and smooth.  I don't like French roast as I find it too harsh, but I do like Italian roast.  Kona is great and I like Hazelnut, Vanilla and Chocolate flavors.<br />I drink my coffee with probably too much (at least 2-3 creamer containers worth to a 12 oz cup coffee) of evaporated milk in it or plain non-dairy creamer. No sugar.<br /><br />That being said...my favorite coffees are:<br /><br />Green Mountain Hazelnut Dark Roast Extra Bold<br />Emeril's Big Easy Bold Coffee<br />Newman's Own Extra Bold<br />Tully's Coffee Kona Blend Extra Bold<br />Folger's Gourmet Vanilla Biscotti<br /><br />and a special mention for<br />Timothy's World Coffee German Chocolate Cake - It has an almost coco-nutty taste to it. Not the deep chocolate taste I was looking for, but the best I have found so far. Please if you can suggest a Dark Chocolate Flavor coffee to me; do so.<br /><br />Also since I have posted a review about a Senseo coffee and now clearly have switched to Keurig a bit about why... if you're interested..which why I put it last.  Feel free to ignore it.<br /><br />We decided to get a Keurig coffee maker after enjoying the Senseo system for over 3 years.<br />Please note, since we got the Senseo system essentially free, not much thought was put into it's purchase. However it did introduce us to single serving coffee systems.<br /><br />We switched to the Keurig system from the Senseo for several reasons.<br /><br />1. Local availability of coffee. For some reason the Senseo system was waning here at the Rochester NY grocery stores and what good is a coffee maker without coffee?  Yes, you can buy online, but sometimes when your planning isn't the best, you might run out. What coffee they did carry was limited and not our preferences.<br /><br />2. Online purchases of Senseo coffees  were either for 4 bags of 16-18 of one variety or 4 bags of a mix of coffees. Invariably there was a few you didn't like.  I never saw small quantities of 5 or so.<br /><br />3. The Senseo ""duck"" for filling  with your own coffee never worked for us.  I'm an engineer and my boyfriend is an inspector. We literally did controlled experiments to get this to work and never could. Maybe we had a faulty unit, but based on reviews here, we were in good company. I knew many that had luck with the Keurig system however and we did as well.<br /><br />4. Once you open a bag of Senseo pods, they are starting to go stale, by virtue of being open to air. The Keurig system's coffees remain sealed and you can have many flavors ""open"" at once. Yes for those of you that are ""green"" there is more plastic waste. However I'm being selfish here and am being more concerned with the green in my pocket and fresh coffee."
47184,B000LKX6GY,A1T361NP6X32CS,Wendy,0,0,4,1311379200,The greatest chocolate!,This organic dark chocolate with currants and hazelnuts is fantastic.  I wish the hazelnuts weren't chopped up so fine.  If the nuts were a little bigger then this would be perfect!!
261901,B001E5E20E,A3DQK83V39WL9G,Paul Butler,0,0,5,1318982400,Jasmine delight,the subtle aroma and delicate flavor make this my favorite tea. I use a teavana cup to brew it and brew it at least twice. I find that water temperature of 180 degrees makes the best cup of these jasmine pearls.
19137,B007BA478S,A2KKHJ1IAU24RV,"Disabled Wait ""PSW""",1,1,3,1337299200,A little too salty for my taste,Firm olives but a little too salty for my taste.  I know these olives are supposed to be salty but they should not be a salt lick.  Good when eaten with other food.
480362,B000DZDJ0K,A2JAHV4TG3H2EL,"Justme ""Cotton""",0,0,5,1294790400,I Love This !!!!,"Never thought that a gluten free product could taste so darn good, had tried several others like products that were so bland. Then my daughter had me try Pamela's pancake mix, I now order by the case!"
103858,B002GQ6OEM,A2V55F355DDVCG,"J. Apfel ""Maxito's dad""",1,1,4,1337212800,"Decent, but not super","We got these when they were on sale and they were surely good value for money but they aren't super quality, tasting a little bit like what they are (premade vacuum sealed meals).  Certainly good and i'd eat them again no problem, and buy them if the price was right but don't expect gourmet."
